area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,lat,lon
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,3.0,1693.0,12.932582,77.5162034
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,125.0,3.0,1925.0,13.0015277,77.6512362
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,2.0,700.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5,2.0,1070.0,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,3.0,1724.0,12.977594,77.7155586
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12,3.0,1290.0,12.9121916,77.5476337
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0,2.0,1143.0,12.9055682,77.5455438
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0,2.0,1296.0,12.9589406,77.6555917
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,3.0,1254.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,1.0,600.0,13.0232471,77.5883569
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0,1.0,660.0,13.1006982,77.5963454
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2.0,1330.74,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2.0,970.0,12.8505644,77.6466948
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2.0,1459.0,12.9957428,77.7579489
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0,2.0,800.0,13.007516,77.695935
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0,2.0,869.0,12.8963003,77.5894113
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2.0,1270.0,13.0305452,77.609433
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3.0,2010.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3.0,1600.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2.0,1200.0,12.8742536,77.6260073
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192.0,4.0,3210.0,13.142344,77.7339688
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2.0,1500.0,12.9778951,77.5164792
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0,6.0,1407.0,12.9589406,77.6555917
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0,2.0,840.0,12.9755632,77.5367385
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0,3.0,4395.0,13.101684,77.4798441
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2.0,845.0,13.0232471,77.5883569
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4.0,5700.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2.0,1160.0,12.9406508,77.746988
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0,8.0,3000.0,12.9034581,77.6230028
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0,2.0,1100.0,12.8505644,77.6466948
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2.0,1140.0,12.9209772,77.7361016
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0,2.0,1220.0,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68,2.0,1005.0,12.8856913,77.5526564
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2.0,1358.0,12.8742536,77.6260073
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3.0,1569.0,13.0720352,77.6333905
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2.0,1240.0,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3.0,2089.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0,2.0,1150.0,12.8658068,77.5911918
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3.0,2511.0,13.0364498,77.5975272
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0,2.0,460.0,13.0200235,77.6092887
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0,6.0,4400.0,12.8974283,77.5573828
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5,4.0,3203.5,13.0351224,77.631944
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2.0,1326.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8,3.0,1325.0,12.9899098,77.7011259
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3.0,1499.0,12.9781922,77.7246451
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0,6.0,3000.0,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0,3.0,1665.0,12.8856913,77.5526564
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2.0,708.0,12.7467724,77.7742876
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2.0,1060.0,12.9047595,77.6759172
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2.0,1000.0,12.9578658,77.6958748
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,28.88,2.0,1000.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,,1450,2.0,2.0,70.0,3.0,1450.0,12.8822917,77.4479257
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0,4.0,1200.0,12.8974283,77.5573828
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2.0,1296.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,90.0,3.0,1540.0,12.9624669,77.6381958
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4.0,2894.0,12.9176571,77.4837568
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,90.0,3.0,1200.0,13.0450201,77.5076896
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,3.0,2502.0,13.0176937,77.5555009
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,2.0,650.0,12.8009043,77.7114908
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,3.0,2400.0,12.8701259,77.5820178
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,2.0,1007.0,13.0052377,77.6492182
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,2.0,1200.0,12.8824524,77.6024627
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,2.0,49.9,2.0,966.0,13.0330515,77.5332233
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2.0,1.0,98.0,3.0,1630.0,12.9512353,77.519054
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,3.0,1640.0,12.9945063,77.554298
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,2.0,55.68,2.0,782.0,13.045979,77.5222447
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,2.0,1260.0,13.142344,77.7339688
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,3.0,1413.0,13.068322,77.591006
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,2.0,1116.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,3.0,1530.0,12.8487599,77.648253
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0,4.0,3700.0,13.0120218,77.6777817
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,3.0,2497.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,3.0,1540.0,12.9176571,77.4837568
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75,3.0,1436.0,13.0522499,77.6316152
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0,2.0,1100.0,13.0027353,77.5703253
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,3.0,1427.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,3.0,2061.0,13.0195427,77.6831272
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,4.0,5611.5,13.0382184,77.5919
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0,4.0,2650.0,13.0309565,77.6111581
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,3.0,1282.0,13.142344,77.7339688
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0,2.0,1050.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,3.0,1600.0,12.9660384,77.6708961
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0,2.0,945.0,12.8774369,77.5447414
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,3.0,1870.0,13.0330515,77.5332233
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,3.0,1600.0,12.9694037,77.5870258
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,2.0,880.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,3.0,1535.0,12.8899174,77.6396808
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,2.0,950.0,12.8856913,77.5526564
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,2.0,1360.0,13.142344,77.7339688
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,2.0,1073.5,12.9104062,77.5951099
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4,3.0,1280.0,12.8137512,77.6953367
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,3.0,1260.0,12.955333,77.5238903
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,250.0,8.0,5000.0,13.0351224,77.631944
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,5.0,3050.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3.0,1563.05,12.9047595,77.6759172
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0,2.0,1000.0,12.8974283,77.5573828
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,2.0,1167.0,13.0239276,77.6923621
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0,3.0,1828.0,12.8701259,77.5820178
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,2.0,890.0,12.9229728,77.4842926
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,3.0,1612.0,13.0093485,77.7108379
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,3.0,1710.0,12.9467026,77.5300705
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,2.0,957.0,13.0154819,77.7631515
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0,3.0,1250.0,12.8931539,77.6219724
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0,3.0,2795.0,12.9162546,77.5891812
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,2.0,1125.0,12.8773486,77.6028031
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,2.0,1020.0,12.8473999,77.6724452
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0,2.0,1200.0,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,3.0,1735.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,3.0,2050.0,13.0522499,77.6316152
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0,4.0,3750.0,13.0113153,77.5446972
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0,3.0,1350.0,12.8087698,77.6673579
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,2.0,1063.0,12.8704543,77.6539943
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,3.0,1904.0,12.9598176,77.5335655
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0,4.0,4200.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,3.0,2000.0,13.0356488,77.574775
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,2.0,1242.5,12.9694037,77.5870258
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,3.0,1425.0,12.8601269,77.6053051
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,3.0,1500.0,12.8487599,77.648253
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,2.0,1060.0,12.8487599,77.648253
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,3.0,1470.0,12.9194294,77.6169759
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,1.0,450.0,12.7751249,77.7709216
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,2.0,1152.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,3.0,1350.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,3.0,1550.0,12.9855509,77.668072
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1.0,0.0,14.0,1.0,400.0,13.0374647,77.623602
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,1.0,705.0,13.0027353,77.5703253
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,2.0,770.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,2.0,1242.0,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,3.0,1700.0,13.050194,77.6075951
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,3.0,2144.0,13.0522499,77.6316152
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,3.0,1704.0,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,2.0,1070.0,12.8487599,77.648253
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,300.0,3.0,1846.0,12.9287596,77.6287122
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7,2.0,1340.0,13.0763895,77.6057269
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,2.0,1025.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,2.0,1277.5,13.007516,77.695935
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,2.0,1200.0,12.9552572,77.6984163
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,110.0,4.0,2250.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,3.0,1550.0,12.9876393,77.7377718
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,,325.0,4.0,1200.0,12.9320495,77.6842915
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0,7.0,1800.0,12.945245,77.6274776
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,2.0,1200.0,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,2.0,1327.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2.0,2.0,58.0,2.0,1186.0,12.8701259,77.5820178
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,3.0,1400.0,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2.0,1.0,48.0,2.0,980.0,13.0479536,77.5001422
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2.0,2.0,82.0,2.0,1285.0,12.9781922,77.7246451
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,70.0,3.0,912.0,12.957998,77.6037312
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,2.0,1225.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2.0,1.0,53.0,2.0,1075.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,3.0,1260.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,3.0,1282.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,3.0,1909.0,13.1067228,77.6173956
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,2.0,1359.0,12.9351457,77.7047541
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2.0,2.0,43.5,2.0,1207.0,12.97516,77.7703403
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736,6.0,0.0,190.0,4.0,1736.0,12.9181024,77.5576638
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4.0,1.0,428.0,4.0,2850.0,12.9182966,77.5741528
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0,3.0,1595.0,13.079198,77.7136366
Built-up  Area,18-Jun,"Off Sarjapur Road,",3 BHK,,1798,3.0,2.0,89.0,3.0,1798.0,12.9098432,77.6878366
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29,3.0,1475.0,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0,2.0,1295.0,13.0432607,77.5125535
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600,6.0,0.0,141.0,6.0,3600.0,12.975608,77.5553564
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0,1.0,589.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3.0,3.0,78.0,3.0,1415.0,12.9592694,77.5093895
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29,3.0,1787.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0,3.0,1787.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0,3.0,1475.0,12.9357366,77.624081
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28,2.0,984.0,12.9244884,77.6451418
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,74.82,3.0,1630.0,13.142344,77.7339688
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0,2.0,1080.0,12.9119693,77.5882043
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2.0,1.0,115.0,2.0,1500.0,12.8824524,77.6024627
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3.0,2.0,119.0,3.0,1900.0,13.0382184,77.5919
Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805,2.0,1.0,22.14,2.0,805.0,12.8777098,77.7534769
