area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,125.0,3.0,1925.0,13.0015277,77.6512362,0.5432022852901733,0.7088322872416989,0.6359952869577619
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,2.0,700.0,12.8856913,77.5526564,0.9963963823531752,0.359091638722918,0.0973468545381832
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5,2.0,1070.0,12.8401734,77.6595099,1.2771586723358812,0.2949821891085972,0.0976455973631153
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,3.0,1724.0,12.977594,77.7155586,0.884085752213232,0.567895273741003,0.0604285081728594
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12,3.0,1290.0,12.9121916,77.5476337,0.4139509772357904,0.2664041276046013,0.2722963169900159
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0,2.0,1143.0,12.9055682,77.5455438,0.2274673373571319,0.1519599724939662,0.1694410044511424
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0,2.0,1296.0,12.9589406,77.6555917,0.8910043150551071,0.1378728066984868,0.0639733688907676
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,3.0,1254.0,12.9244884,77.6451418,0.5500515300656763,0.3337970172861007,0.2288940070894062
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,1.0,600.0,13.0232471,77.5883569,0.888328840491725,0.2225098875426148,0.2863167340778583
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0,1.0,660.0,13.1006982,77.5963454,1.1101413730029868,0.0830813646669616,0.1725955228275265
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2.0,1330.74,12.8856913,77.5526564,0.9963963823531752,0.359091638722918,0.0973468545381832
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2.0,970.0,12.8505644,77.6466948,0.674474501860267,0.4616742612433213,0.8315226258095125
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2.0,1459.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0,2.0,800.0,13.007516,77.695935,1.2063438008359872,0.0725318111449869,0.1011381963899148
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0,2.0,869.0,12.8963003,77.5894113,0.0919719520662207,0.5396536648685539,0.3989533862685349
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2.0,1270.0,13.0305452,77.609433,,,
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3.0,2010.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3.0,1600.0,13.1006982,77.5963454,1.1101413730029868,0.0830813646669616,0.1725955228275265
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2.0,1200.0,12.8742536,77.6260073,0.0564740136609505,0.4261364523608231,0.0426900671248846
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192.0,4.0,3210.0,13.142344,77.7339688,,1.284534894489931,0.5108250171089255
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2.0,1500.0,12.9778951,77.5164792,1.6170914410500894,0.5265660189821747,2.378736265459641
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0,6.0,1407.0,12.9589406,77.6555917,0.8910043150551071,0.1378728066984868,0.0639733688907676
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0,2.0,840.0,12.9755632,77.5367385,0.4601225816958452,0.0625211857120955,0.4858837236921025
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0,3.0,4395.0,13.101684,77.4798441,0.6934241797040022,2.2134300271851246,0.1009169660817737
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2.0,845.0,13.0232471,77.5883569,0.888328840491725,0.2225098875426148,0.2863167340778583
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4.0,5700.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2.0,1160.0,12.9406508,77.746988,0.062338097155049,0.0742096047391458,0.0563215672950399
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0,8.0,3000.0,12.9034581,77.6230028,,,
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0,2.0,1100.0,12.8505644,77.6466948,0.674474501860267,0.4616742612433213,0.8315226258095125
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2.0,1140.0,12.9209772,77.7361016,2.539901700176744,0.1502491067810663,0.0432678343082523
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0,2.0,1220.0,12.9552572,77.6984163,0.6719239127411085,0.190113011289509,0.2419124009198896
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68,2.0,1005.0,12.8856913,77.5526564,0.9963963823531752,0.359091638722918,0.0973468545381832
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2.0,1358.0,12.8742536,77.6260073,0.0564740136609505,0.4261364523608231,0.0426900671248846
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3.0,1569.0,13.0720352,77.6333905,1.382944725422289,0.2177405617129972,0.0355851745103119
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2.0,1240.0,12.9018012,77.6641767,1.3909299035710845,0.8326963261355745,1.3074632901104353
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3.0,2089.0,13.0351224,77.631944,0.2765531953436611,0.2961596190679827,0.3357653297815484
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0,2.0,1150.0,12.8658068,77.5911918,0.5611288741900337,0.8962946840072035,0.0698589335179441
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3.0,2511.0,13.0364498,77.5975272,0.4207851795189184,0.6466700111719517,0.0386375919669187
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0,2.0,460.0,13.0200235,77.6092887,0.948370139736374,0.2754779248766035,0.1735195109508546
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0,6.0,4400.0,12.8974283,77.5573828,0.4088363045715394,0.7429662978498007,0.1866650183045283
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5,4.0,3203.5,13.0351224,77.631944,0.2765531953436611,0.2961596190679827,0.3357653297815484
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2.0,1326.0,13.1006982,77.5963454,1.1101413730029868,0.0830813646669616,0.1725955228275265
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8,3.0,1325.0,12.9899098,77.7011259,1.739069668768504,0.3322321050967139,0.4419202723307703
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3.0,1499.0,12.9781922,77.7246451,0.0445328967272574,0.2561666460342068,0.1543015947869913
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0,6.0,3000.0,13.0720352,77.6333905,1.382944725422289,0.2177405617129972,0.0355851745103119
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0,3.0,1665.0,12.8856913,77.5526564,0.9963963823531752,0.359091638722918,0.0973468545381832
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2.0,708.0,12.7467724,77.7742876,2.8042632384941397,1.5804499098115483,2.7686573650580377
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2.0,1060.0,12.9047595,77.6759172,2.2843970189080567,0.2078463463142163,0.0136086158689195
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2.0,1000.0,12.9578658,77.6958748,0.7629447133998302,0.3149495935342058,0.1928261321293142
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,28.88,2.0,1000.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,,1450,2.0,2.0,70.0,3.0,1450.0,12.8822917,77.4479257,2.488785686641193,2.151307104242227,0.3685974848532299
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0,4.0,1200.0,12.8974283,77.5573828,0.4088363045715394,0.7429662978498007,0.1866650183045283
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2.0,1296.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,90.0,3.0,1540.0,12.9624669,77.6381958,0.4041152176117952,0.262058660005068,0.1086592570255002
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4.0,2894.0,12.9176571,77.4837568,0.4503921372896056,0.3716515779443523,0.1561736051709742
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,90.0,3.0,1200.0,13.0450201,77.5076896,2.286667141615597,0.1682002609558339,0.5043141849617998
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,3.0,2502.0,13.0176937,77.5555009,0.3738653299832751,0.4786746457239244,0.1939580095475588
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,2.0,650.0,12.8009043,77.7114908,2.2049248881111088,0.129175824605253,0.2517187885669928
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,3.0,2400.0,12.8701259,77.5820178,0.2901253561555079,1.2046900818961757,0.1255652912582252
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,2.0,1007.0,13.0052377,77.6492182,0.1056793183169299,0.5798244880367653,0.1804435876702554
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,2.0,1200.0,12.8824524,77.6024627,0.2041962902497417,0.5226700664503133,0.5527872448547392
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,2.0,49.9,2.0,966.0,13.0330515,77.5332233,0.6206590321161664,0.9324745827687104,0.0043561736232869
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2.0,1.0,98.0,3.0,1630.0,12.9512353,77.519054,0.7881468673794932,0.5196799955806761,0.1790219239819533
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,3.0,1640.0,12.9945063,77.554298,0.9169000511960156,0.0937969906036531,0.1635631137513544
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,2.0,55.68,2.0,782.0,13.045979,77.5222447,1.2618800609677154,0.8208589125456504,0.750648859658692
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,2.0,1260.0,13.142344,77.7339688,,1.284534894489931,0.5108250171089255
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,3.0,1413.0,13.068322,77.591006,0.6390503863790468,0.5229787545111656,0.2904150118814682
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,2.0,1116.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,3.0,1530.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0,4.0,3700.0,13.0120218,77.6777817,0.7012545493049456,0.1005038444793955,0.1340673492662811
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,3.0,2497.0,12.9244884,77.6451418,0.5500515300656763,0.3337970172861007,0.2288940070894062
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,3.0,1540.0,12.9176571,77.4837568,0.4503921372896056,0.3716515779443523,0.1561736051709742
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75,3.0,1436.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0,2.0,1100.0,13.0027353,77.5703253,0.2143519029451255,0.1013357314468058,0.0943480474278475
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,3.0,1427.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,3.0,2061.0,13.0195427,77.6831272,,,
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,4.0,5611.5,13.0382184,77.5919,0.7863823345646925,0.1236876912510814,0.3075766141575576
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0,4.0,2650.0,13.0309565,77.6111581,0.627610324960466,0.3289322759884024,0.2560862573611048
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,3.0,1282.0,13.142344,77.7339688,,1.284534894489931,0.5108250171089255
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0,2.0,1050.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,3.0,1600.0,12.9660384,77.6708961,1.5732036233341649,0.1784131901123171,0.7385926001419972
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0,2.0,945.0,12.8774369,77.5447414,0.7712959770494165,0.1193243876760629,0.0456121371589613
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,3.0,1870.0,13.0330515,77.5332233,0.6206590321161664,0.9324745827687104,0.0043561736232869
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,3.0,1600.0,12.9694037,77.5870258,0.513245507673521,0.1753433216729026,0.0443651517984582
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,2.0,880.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,3.0,1535.0,12.8899174,77.6396808,0.1418802297277,0.4923916101664887,0.0504332177791086
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,2.0,950.0,12.8856913,77.5526564,0.9963963823531752,0.359091638722918,0.0973468545381832
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,2.0,1360.0,13.142344,77.7339688,,1.284534894489931,0.5108250171089255
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,2.0,1073.5,12.9104062,77.5951099,,,
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4,3.0,1280.0,12.8137512,77.6953367,2.4011759281746454,0.7203121209554268,0.8298539530993914
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,3.0,1260.0,12.955333,77.5238903,0.7238562311077406,0.3231000193871265,0.1806097759441346
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,250.0,8.0,5000.0,13.0351224,77.631944,0.2765531953436611,0.2961596190679827,0.3357653297815484
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,5.0,3050.0,13.1006982,77.5963454,1.1101413730029868,0.0830813646669616,0.1725955228275265
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3.0,1563.05,12.9047595,77.6759172,2.2843970189080567,0.2078463463142163,0.0136086158689195
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0,2.0,1000.0,12.8974283,77.5573828,0.4088363045715394,0.7429662978498007,0.1866650183045283
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,2.0,1167.0,13.0239276,77.6923621,,,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0,3.0,1828.0,12.8701259,77.5820178,0.2901253561555079,1.2046900818961757,0.1255652912582252
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,2.0,890.0,12.9229728,77.4842926,1.02066683482025,0.109134829201366,0.1300462809805596
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,3.0,1612.0,13.0093485,77.7108379,,,
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,3.0,1710.0,12.9467026,77.5300705,0.7109790178070446,0.4682574972882378,0.0059360569856146
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,2.0,957.0,13.0154819,77.7631515,1.429319726136114,1.0310777560740665,0.2849821535106997
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0,3.0,1250.0,12.8931539,77.6219724,0.2361360557477875,0.2418815970480645,0.4494674896338274
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0,3.0,2795.0,12.9162546,77.5891812,0.1712180968464067,0.3897447647072238,0.0814818072165405
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,2.0,1125.0,12.8773486,77.6028031,0.0268068954878658,0.7976716289728175,0.0359826059281747
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,2.0,1020.0,12.8473999,77.6724452,0.4003537691158839,0.6695947877797833,0.0713470995046223
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0,2.0,1200.0,12.8658068,77.5911918,0.5611288741900337,0.8962946840072035,0.0698589335179441
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,3.0,1735.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,3.0,2050.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0,4.0,3750.0,13.0113153,77.5446972,0.2374027662924826,0.4081989036260679,0.0950670862772034
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0,3.0,1350.0,12.8087698,77.6673579,,1.5980515301103306,0.9905609773609868
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,2.0,1063.0,12.8704543,77.6539943,0.0632104157827673,0.108222686543166,0.0350299728216249
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,3.0,1904.0,12.9598176,77.5335655,0.2321090363917142,0.0,0.156527057587764
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0,4.0,4200.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,3.0,2000.0,13.0356488,77.574775,0.4608208820850388,0.0575738931792843,0.1673418787107752
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,2.0,1242.5,12.9694037,77.5870258,0.513245507673521,0.1753433216729026,0.0443651517984582
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,3.0,1425.0,12.8601269,77.6053051,0.4819241757440126,0.6049529198224654,0.6210184176952032
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,3.0,1500.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,2.0,1060.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
